,Mental Demand,Physical Demand,Temporal Demand,Own Performance,Effort,Frustration Level,,,,,,,,,,,,,,,,,,,,,,
Code,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",Individual NASA-TLX Score (%),Mean NASA-TLX Score (%),Mode NASA-TLX Score (%),Standard Deviation NASA-TLX Score,,How safe did you feel during this task?,Number of times the user looked before crossing,,I think that I would like to use this system frequently,I found the system unnecessarily complex,I thought the system was easy to use,I think that I would need the support of a technical person to be able to use this system,I found the various functions in this system were well integrated,I thought there was too much inconsistency in this system,I would imagine that most people would learn to use this system very quickly,I found the system very cumbersome to use,I felt very confident using the system,I needed to learn a lot of things before I could get going with this system,Individual SUS Score,Mean SUS Score,Mode SUS Score,Standard Deviation SUS Score
Bee,1,1,1,1,1,1,5,15.2,5.0,12.7,,100,4,,3,1,5,1,3,1,5,1,5,1,90,84.5,90.0,11.6
Bird,1,1,1,1,1,1,5,,,,,86,0,,3,1,5,1,4,1,4,1,5,1,90,,,
Cat,3,1,6,1,2,1,12,,,,,100,1,,4,1,5,1,5,1,5,1,4,1,95,,,
Chicken,1,1,1,1,1,3,7,,,,,75,1,,4,2,3,3,2,4,4,3,2,3,50,,,
Cow,15,9,15,8,15,14,63,,,,,95,2,,4,2,5,2,4,1,5,2,5,1,87.5,,,
Dog,1,2,2,5,4,5,16,,,,,89,3,,5,1,5,1,4,1,5,2,4,1,92.5,,,
Duck,4,4,7,3,3,3,20,,,,,85,1,,3,1,5,1,5,1,5,1,5,1,95,,,
Fish,1,1,1,1,1,1,5,,,,,100,2,,5,1,5,1,5,1,5,3,3,3,85,,,
Frog,7,7,8,3,5,1,26,,,,,65,1,,4,2,4,4,4,3,4,2,4,2,67.5,,,
Horse,3,3,3,1,1,2,11,,,,,80,1,,3,1,4,1,4,1,5,1,5,1,90,,,
lion,4,3,3,4,1,2,14,,,,,92,1,,4,1,4,1,4,2,5,1,4,1,87.5,,,
monkey,1,3,2,1,7,3,14,,,,,97,1,,4,1,5,4,5,1,4,1,5,1,87.5,,,
Pig,5,3,1,1,1,3,12,,,,,60,2,,3,1,4,1,4,2,4,2,4,1,80,,,
Rabbit,6,3,3,3,1,3,16,,,,,70,3,,3,1,4,1,4,1,5,1,3,1,85,,,
shark,3,4,5,5,3,4,20,,,,,85,2,,3,2,5,1,4,2,2,2,5,2,75,,,
Snail,2,1,2,1,1,1,7,,,,,100,1,,4,1,5,1,5,1,5,1,5,1,97.5,,,
Snake,3,2,1,1,3,2,10,,,,,90,1,,5,1,5,2,5,1,5,1,5,2,95,,,
spider,4,4,5,4,3,5,21,,,,,94,2,,4,1,5,5,4,2,5,3,4,1,75,,,
Turtle,3,2,2,4,3,1,13,,,,,78,0,,4,1,5,1,5,1,5,1,3,1,92.5,,,
Zebra,1,1,1,4,3,1,9,,,,,74,1,,2,1,4,4,4,2,5,2,4,1,72.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,1,1,1,1,1,1,,,,,Mean,85.75,1.5,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,,,,
Q1,1,1,1,1,1,1,,,,,Mode,100,1,,3.7,1.2,4.6,1.9,4.2,1.5,4.6,1.6,4.2,1.4,,,,
Median,1.0,1.0,1.5,1.0,1.5,2.0,,,,,,,,,,,,,,,,,,,,,,
Q3,4,3.25,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,
High,15,9,15,8,15,14,,,,,,,,,,,,,,,,,,,,,,
Mode,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,Mean (%),Mean (%),Mean (%),Mean (%),Mean (%),Mean (%),,,,,,,,,,,,,,,,,,,,,,
,17.25,14.00,17.50,13.25,15.00,14.25,,,,,,,,,,,,,,,,,,,,,,
