,Mental Demand,Physical Demand,Temporal Demand,Own Performance,Effort,Frustration Level,,,,,,,
Code,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",Individual NASA-TLX Score (%),Mean NASA-TLX Score (%),Mode NASA-TLX Score (%),Standard Deviation NASA-TLX Score,,How safe did you feel during this task?,Number of times the user looked before crossing
Bee,6,1,1,3,5,4,17,31.79,25.0,14.4,,90,5
Bird,6,1,3,7,5,5,23,,,,,60,4
Cat,11,15,12,11,8,12,58,,,,,33,7
Chicken,8,8,13,5,11,14,49,,,,,50,3
Cow,9,8,7,18,8,6,47,,,,,89,3
dog,10,1,6,12,11,14,45,,,,,50,6
Duck,12,8,14,14,14,14,63,,,,,60,4
Fish,5,1,3,5,6,10,25,,,,,79,2
Frog,5,4,5,1,5,2,18,,,,,90,4
Horse,9,7,6,4,10,7,36,,,,,70,5
lion,8,1,1,6,6,7,24,,,,,75,2
monkey,5,3,3,10,3,5,24,,,,,78,3
Pig,7,1,1,8,4,4,21,,,,,49,2
Rabbit,5,2,4,1,5,1,15,,,,,90,6
shark,8,3,4,3,7,8,28,,,,,75,4
Snail,6,5,1,4,6,6,23,,,,,90,5
Snake,9,2,4,8,7,11,34,,,,,60,6
spider,6,1,21,16,5,4,44,,,,,80,4
Turtle,5,1,2,3,5,5,18,,,,,58,4
Zebra,7,1,1,5,8,8,25,,,,,65,4
,,,,,,,,,,,,,
Low,5,1,1,1,3,1,,,,,Mean,69.55,4.15
Q1,5.75,1,3,5,5.75,5.75,,,,,Mode,90,4
Median,8.5,4.5,6.5,9.0,8.0,11.0,,,,,,,
Q3,9,5.5,6.25,10.25,8,10.25,,,,,,,
High,12,15,21,18,14,14,,,,,,,
Mode,5,1,1,3,5,4,,,,,,,
,Mean (%),Mean (%),Mean (%),Mean (%),Mean (%),Mean (%),,,,,,,
,36.75,18.50,28.00,36.00,34.75,36.75,,,,,,,
