,Mental Demand,Physical Demand,Temporal Demand,Own Performance,Effort,Frustration Level,,,,,,,,,,,,,,,,,,,,,,
Code,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",Individual NASA-TLX Score (%),Mean NASA-TLX Score (%),Mode NASA-TLX Score (%),Standard Deviation NASA-TLX Score,,How safe did you feel during this task?,Number of times the user looked before crossing,,I think that I would like to use this system frequently,I found the system unnecessarily complex,I thought the system was easy to use,I think that I would need the support of a technical person to be able to use this system,I found the various functions in this system were well integrated,I thought there was too much inconsistency in this system,I would imagine that most people would learn to use this system very quickly,I found the system very cumbersome to use,I felt very confident using the system,I needed to learn a lot of things before I could get going with this system,Individual SUS Score,Mean SUS Score,Mode SUS Score,Standard Deviation SUS Score
Bee,1,1,1,1,1,1,5,16.9,10.0,10.9,,100,2,,3,1,5,1,5,1,5,1,4,1,92.5,83.8,95.0,10.4
Bird,1,1,6,1,1,1,9,,,,,95,0,,4,1,5,1,5,1,1,1,5,1,87.5,,,
Cat,1,1,6,1,2,1,10,,,,,100,0,,4,2,5,1,5,1,5,1,5,1,95,,,
Chicken,1,1,5,1,3,3,12,,,,,100,0,,3,1,5,1,5,1,5,1,5,4,87.5,,,
Cow,14,3,16,9,10,7,49,,,,,46,1,,4,5,4,4,5,1,4,3,4,2,65,,,
Dog,10,2,5,8,7,6,32,,,,,64,4,,2,2,5,2,2,2,4,3,3,2,62.5,,,
Duck,6,6,11,5,3,6,31,,,,,80,0,,3,1,5,2,5,1,5,1,5,1,92.5,,,
Fish,1,1,1,2,3,1,8,,,,,100,2,,1,2,5,1,5,1,5,3,5,1,82.5,,,
Frog,8,7,8,1,5,1,25,,,,,79,0,,3,2,4,2,3,1,4,1,4,2,75,,,
Horse,2,2,2,1,2,2,9,,,,,90,0,,3,1,5,1,5,1,5,1,5,1,95,,,
lion,1,3,5,1,1,3,12,,,,,90,1,,4,1,5,1,4,1,5,1,4,1,92.5,,,
monkey,1,2,2,5,4,5,16,,,,,95,0,,5,2,4,2,4,1,5,2,5,1,87.5,,,
Pig,6,1,1,1,1,2,10,,,,,60,0,,4,2,5,1,5,1,5,2,4,1,90,,,
Rabbit,8,4,6,6,4,1,24,,,,,70,4,,3,2,4,1,4,1,5,1,3,2,80,,,
shark,4,4,3,5,4,4,20,,,,,89,2,,4,1,4,2,5,2,4,3,2,2,72.5,,,
Snail,1,1,3,1,1,1,7,,,,,100,2,,4,1,5,1,5,1,5,1,4,1,95,,,
Snake,4,1,3,1,2,1,10,,,,,100,1,,4,1,5,2,5,1,5,1,5,1,95,,,
spider,3,3,4,6,4,2,18,,,,,90,3,,4,1,5,1,4,5,5,5,5,2,72.5,,,
Turtle,2,3,3,2,3,3,13,,,,,66,1,,3,1,4,1,4,3,5,2,3,1,77.5,,,
Zebra,4,4,4,4,3,3,18,,,,,84,1,,2,1,4,2,4,2,4,1,4,1,77.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low,1,1,1,1,1,1,,,,,Mean,84.9,1.2,,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,,,,
Q1,1,1,4,1,1.75,1,,,,,Mode,100,0,,3.4,1.6,4.7,1.5,4.5,1.5,4.6,1.8,4.2,1.5,,,,
Median,1.0,1.0,5.5,1.5,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Q3,6,3.25,6,5,4,3.25,,,,,,,,,,,,,,,,,,,,,,
High,14,7,16,9,10,7,,,,,,,,,,,,,,,,,,,,,,
Mode,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,Mean (%),Mean (%),Mean (%),Mean (%),Mean (%),Mean (%),,,,,,,,,,,,,,,,,,,,,,
,19.75,12.75,23.75,15.50,16.00,13.50,,,,,,,,,,,,,,,,,,,,,,
